year,context_type,n,tot_n,prop
1994-01-01,background,4665,5983,0.7797091759986629
1981-01-01,background,2860,3184,0.8982412060301508
1977-01-01,background,2567,2802,0.916131334760885
2008-01-01,background,2416,2880,0.8388888888888889
2016-01-01,background,2185,2809,0.7778568885724457
1980-01-01,background,2007,2309,0.8692074491121697
2012-01-01,background,1702,2050,0.8302439024390244
2014-01-01,background,1650,1971,0.837138508371385
2013-01-01,background,1552,1841,0.8430200977729495
2010-01-01,background,1469,1782,0.824354657687991
2015-01-01,background,1372,1700,0.8070588235294117
2009-01-01,background,1326,1782,0.7441077441077442
1986-01-01,background,1325,1601,0.8276077451592755
2007-01-01,background,1209,1571,0.7695735200509229
2004-01-01,background,1168,1375,0.8494545454545455
1978-01-01,background,1139,1277,0.8919342208300705
2019-01-01,background,1121,1346,0.8328380386329867
2011-01-01,background,1116,1386,0.8051948051948052
1979-01-01,background,1071,1227,0.8728606356968215
1994-01-01,motivation,1068,5983,0.17850576633795753
1999-01-01,background,1028,1186,0.866779089376054
1976-01-01,background,967,1092,0.8855311355311355
2006-01-01,background,915,1047,0.8739255014326648
1982-01-01,background,898,1051,0.8544243577545195
2002-01-01,background,812,986,0.8235294117647058
2018-01-01,background,808,1028,0.7859922178988327
1975-01-01,background,750,874,0.8581235697940504
1997-01-01,background,679,807,0.8413878562577447
1970-01-01,background,672,749,0.897196261682243
1983-01-01,background,659,770,0.8558441558441559
2003-01-01,background,648,801,0.8089887640449438
2021-01-01,background,636,854,0.7447306791569087
1998-01-01,background,635,768,0.8268229166666666
1974-01-01,background,612,714,0.8571428571428571
2020-01-01,background,602,773,0.7787839586028461
2000-01-01,background,483,574,0.8414634146341463
1993-01-01,background,462,578,0.7993079584775087
2017-01-01,background,427,644,0.6630434782608695
1972-01-01,background,406,455,0.8923076923076924
1969-01-01,background,371,414,0.8961352657004831
1989-01-01,background,366,409,0.8948655256723717
1973-01-01,background,366,466,0.7854077253218884
1984-01-01,background,363,404,0.8985148514851485
1966-01-01,background,351,423,0.8297872340425532
2005-01-01,background,335,449,0.7461024498886414
1991-01-01,background,331,351,0.9430199430199431
2001-01-01,background,327,382,0.856020942408377
1971-01-01,background,317,354,0.8954802259887006
2016-01-01,motivation,301,2809,0.10715557137771449
1967-01-01,background,265,312,0.8493589743589743
1980-01-01,motivation,249,2309,0.10783889129493288
1965-01-01,background,240,270,0.8888888888888888
2008-01-01,motivation,235,2880,0.08159722222222222
2007-01-01,motivation,232,1571,0.14767663908338638
2012-01-01,motivation,221,2050,0.10780487804878049
2023-01-01,background,220,243,0.9053497942386831
1995-01-01,background,217,254,0.8543307086614174
1986-01-01,motivation,212,1601,0.13241723922548407
2011-01-01,motivation,207,1386,0.14935064935064934
1968-01-01,background,199,224,0.8883928571428571
1981-01-01,motivation,196,3184,0.06155778894472362
2009-01-01,motivation,193,1782,0.10830527497194165
2014-01-01,motivation,189,1971,0.0958904109589041
2010-01-01,motivation,189,1782,0.10606060606060606
2015-01-01,motivation,181,1700,0.10647058823529412
1996-01-01,background,172,198,0.8686868686868687
1985-01-01,background,165,249,0.6626506024096386
1994-01-01,differences,162,5983,0.027076717365869966
1977-01-01,motivation,156,2802,0.055674518201284794
2016-01-01,uses,147,2809,0.05233179067283731
2013-01-01,motivation,147,1841,0.07984790874524715
2017-01-01,motivation,133,644,0.20652173913043478
1964-01-01,background,133,144,0.9236111111111112
2016-01-01,differences,132,2809,0.04699181203275187
1982-01-01,motivation,119,1051,0.11322549952426261
1987-01-01,background,117,147,0.7959183673469388
2019-01-01,motivation,115,1346,0.08543833580980684
2009-01-01,uses,115,1782,0.06453423120089787
2021-01-01,motivation,114,854,0.13348946135831383
2004-01-01,motivation,113,1375,0.08218181818181818
1999-01-01,motivation,109,1186,0.09190556492411467
2020-01-01,motivation,108,773,0.13971539456662355
2009-01-01,differences,106,1782,0.05948372615039282
1992-01-01,background,102,128,0.796875
1979-01-01,motivation,100,1227,0.08149959250203749
1978-01-01,motivation,92,1277,0.07204385277995301
2008-01-01,differences,92,2880,0.03194444444444444
2003-01-01,motivation,91,801,0.1136079900124844
1976-01-01,motivation,87,1092,0.07967032967032966
1988-01-01,background,87,126,0.6904761904761905
2002-01-01,motivation,85,986,0.08620689655172414
1983-01-01,motivation,81,770,0.10519480519480519
1997-01-01,motivation,81,807,0.10037174721189591
1981-01-01,differences,74,3184,0.023241206030150754
2006-01-01,motivation,73,1047,0.06972301814708691
2008-01-01,uses,72,2880,0.025
2018-01-01,motivation,70,1028,0.06809338521400778
1975-01-01,motivation,68,874,0.07780320366132723
2015-01-01,differences,65,1700,0.03823529411764706
2000-01-01,motivation,64,574,0.11149825783972125
1998-01-01,motivation,63,768,0.08203125
2013-01-01,differences,61,1841,0.033134166214014125
1993-01-01,motivation,61,578,0.10553633217993079
2007-01-01,differences,60,1571,0.03819223424570337
1970-01-01,motivation,59,749,0.0787716955941255
2018-01-01,uses,58,1028,0.05642023346303502
1966-01-01,motivation,58,423,0.13711583924349882
2005-01-01,motivation,57,449,0.12694877505567928
1974-01-01,motivation,57,714,0.07983193277310924
1973-01-01,motivation,54,466,0.11587982832618025
2013-01-01,uses,54,1841,0.02933188484519283
2010-01-01,differences,52,1782,0.029180695847362513
2015-01-01,uses,51,1700,0.03
2022-01-01,background,49,76,0.6447368421052632
2010-01-01,uses,49,1782,0.02749719416386083
2012-01-01,differences,48,2050,0.023414634146341463
1986-01-01,differences,47,1601,0.029356652092442224
2020-01-01,uses,47,773,0.06080206985769728
1994-01-01,uses,46,5983,0.007688450610061842
2014-01-01,differences,46,1971,0.023338406900050734
2008-01-01,similarities,45,2880,0.015625
2017-01-01,differences,45,644,0.06987577639751552
2014-01-01,uses,43,1971,0.021816336884830034
1990-01-01,background,43,54,0.7962962962962963
2019-01-01,uses,42,1346,0.031203566121842496
2012-01-01,uses,42,2050,0.02048780487804878
2021-01-01,differences,41,854,0.04800936768149883
2018-01-01,similarities,40,1028,0.038910505836575876
2004-01-01,uses,40,1375,0.02909090909090909
1994-01-01,similarities,40,5983,0.006685609226140732
2021-01-01,uses,39,854,0.04566744730679157
2005-01-01,uses,37,449,0.08240534521158129
2018-01-01,differences,36,1028,0.03501945525291829
2004-01-01,differences,36,1375,0.02618181818181818
2003-01-01,differences,36,801,0.0449438202247191
2002-01-01,differences,35,986,0.035496957403651115
2007-01-01,uses,34,1571,0.021642266072565246
2006-01-01,differences,34,1047,0.03247373447946514
1985-01-01,motivation,33,249,0.13253012048192772
2016-01-01,similarities,30,2809,0.01067995728017088
1975-01-01,differences,30,874,0.034324942791762014
1977-01-01,uses,29,2802,0.01034975017844397
1979-01-01,differences,29,1227,0.023634881825590873
1967-01-01,motivation,28,312,0.08974358974358974
2009-01-01,similarities,28,1782,0.015712682379349047
1981-01-01,uses,28,3184,0.008793969849246231
1977-01-01,similarities,27,2802,0.009635974304068522
1998-01-01,differences,27,768,0.03515625
2019-01-01,differences,27,1346,0.020059435364041606
1989-01-01,motivation,27,409,0.06601466992665037
1980-01-01,differences,26,2309,0.01126028583802512
2011-01-01,uses,26,1386,0.01875901875901876
1998-01-01,similarities,26,768,0.033854166666666664
2017-01-01,uses,26,644,0.040372670807453416
2012-01-01,similarities,26,2050,0.012682926829268294
2007-01-01,similarities,24,1571,0.015276893698281349
2001-01-01,motivation,24,382,0.06282722513089005
2011-01-01,differences,24,1386,0.017316017316017316
1993-01-01,differences,24,578,0.04152249134948097
1997-01-01,differences,23,807,0.028500619578686492
2023-01-01,motivation,23,243,0.09465020576131687
1984-01-01,motivation,23,404,0.05693069306930693
1969-01-01,motivation,23,414,0.05555555555555555
1971-01-01,motivation,23,354,0.06497175141242938
2002-01-01,similarities,22,986,0.02231237322515213
