step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
1,386,2,0.1248534127126743,0.0,0.0,0.11598916556811745,0.0,0.0,,
2,772,4,0.13034935815520535,0.0,0.0,,,,,
3,1334,6,0.06443112791404436,0.0,0.0,,,,,
4,1928,8,0.05087949775022713,0.0,0.0,,,,,
5,2874,10,0.03250569529166215,0.0,0.0,,,,,
6,3484,12,0.03422449140398816,0.0,0.0,,,,,
7,3790,14,0.0356674940591256,1.0,1.0,,,,,
8,4176,16,0.040642878078671556,0.5,0.5,,,,,
9,4626,18,0.04193615975306914,0.5,0.5,0.05044799429893568,0.0,0.0,,
10,4964,20,0.04038821404712854,0.5,0.5,,,,,
11,5286,22,0.06006719391117258,0.0,0.0,,,,,
12,5688,24,0.03232072115309442,0.5,0.5,,,,,
13,6106,26,0.03965702186946041,1.0,1.0,,,,,
14,6428,28,0.03921627137745964,0.5,0.5,,,,,
15,6734,30,0.05269559914156592,0.0,0.0,,,,,
16,7120,32,0.03153454970561976,1.0,1.0,,,,,
17,7602,34,0.034405240299677335,0.5,0.5,0.032970878790032916,0.5,0.5,,
18,8148,36,0.03258462811122359,0.0,0.0,,,,,
19,8582,38,0.03614306924390904,0.5,0.5,,,,,
20,9080,40,0.033423645143085455,0.5,0.5,,,,,
21,9834,42,0.025374010126408317,0.5,0.5,,,,,
22,10204,44,0.04016596033825013,0.5,0.5,,,,,
23,10686,46,0.030911644728164902,0.0,0.0,,,,,
24,11888,48,0.025009895293800703,0.0,0.0,,,,,
25,12482,50,0.026444514269037548,0.5,0.5,0.040631825005120845,0.0,0.0,,
26,13556,52,0.025153736957582804,0.0,0.0,,,,,
27,13926,54,0.03547744735486365,0.5,0.5,,,,,
28,14520,56,0.032153421791888924,0.0,0.0,,,,,
29,14986,58,0.03239416488328626,0.5,0.5,,,,,
30,15404,60,0.04056567105814583,0.0,0.0,,,,,
31,15710,62,0.050464215318941956,0.0,0.0,,,,,
32,16016,64,0.03703604927203215,0.5,0.5,,,,,
33,16690,66,0.024775269167799877,0.0,0.0,0.029251158346719118,1.0,1.0,,
34,17172,68,0.03541548006372614,0.0,0.0,,,,,
35,17734,70,0.03504133242991105,0.0,0.0,,,,,
36,18040,72,0.03221729257779532,0.5,0.5,,,,,
37,18538,74,0.030633584282617334,0.0,0.0,,,,,
38,18940,76,0.03399185318941018,1.0,1.0,,,,,
39,19406,78,0.036365892266885254,0.5,0.5,,,,,
40,19984,80,0.030645963597360406,0.5,0.5,,,,,
41,21058,82,0.023593940090729272,0.0,0.0,0.03250653068510292,1.0,1.0,,
42,21764,84,0.029715345549104558,0.5,0.5,,,,,
43,22134,86,0.04102379586948107,0.5,0.5,,,,,
44,22568,88,0.030176367995609327,0.5,0.5,,,,,
45,23018,90,0.03504286319777423,0.0,0.0,,,,,
46,23404,92,0.0353727759670528,0.5,0.5,,,,,
47,23758,94,0.038632770142435637,0.0,0.0,,,,,
48,24560,96,0.023743358241421084,0.0,0.0,,,,,
49,25010,98,0.03754470481546638,0.0,0.0,0.028116220136950268,0.0,0.0,,
50,25668,100,0.024155487686838593,1.0,1.0,,,,,
51,26006,102,0.03976904122518049,0.0,0.0,,,,,
52,26472,104,0.034262913892719016,0.0,0.0,,,,,
53,26842,106,0.04792006790880528,0.0,0.0,,,,,
54,27340,108,0.037084853794707856,0.0,0.0,,,,,
55,27630,110,0.03317285179671469,0.5,0.5,,,,,
56,28448,112,0.02439858046140466,1.0,1.0,,,,,
57,28802,114,0.04339493301526421,0.5,0.5,0.032698859462654786,1.0,1.0,,
58,29220,116,0.03168646098774423,1.0,1.0,,,,,
59,29622,118,0.036918558132225006,0.5,0.5,,,,,
60,30408,120,0.027258425092229432,0.0,0.0,,,,,
61,30874,122,0.028458918506962777,0.5,0.5,,,,,
62,31164,124,0.03983972409608619,0.5,0.5,,,,,
63,31774,126,0.030529703123252386,0.0,0.0,,,,,
64,32224,128,0.026669530662298453,1.0,1.0,,,,,
65,32690,130,0.043439020132773926,0.0,0.0,0.035834695029839596,0.5,0.5,,
66,33124,132,0.025679813491485588,1.0,1.0,,,,,
67,33814,134,0.023183918715391015,0.5,0.5,,,,,
68,34136,136,0.035129614829154894,1.0,1.0,,,,,
69,34554,138,0.030818501137325188,1.0,1.0,,,,,
70,34972,140,0.04469854958556496,0.0,0.0,,,,,
71,35342,142,0.026172798085861596,1.0,1.0,,,,,
72,35920,144,0.03138999279773189,0.0,0.0,,,,,
73,36274,146,0.04224118737292553,0.0,0.0,0.02666789262171251,0.5,0.5,,
74,36692,148,0.03748460102027121,0.5,0.5,,,,,
75,38022,150,0.024881231842138883,0.5,0.5,,,,,
76,38312,152,0.03514376740595051,0.5,0.5,,,,,
77,38858,154,0.03518022381194335,0.5,0.5,,,,,
78,39388,156,0.02985139484840395,0.5,0.5,,,,,
79,39806,158,0.033010220538758746,1.0,1.0,,,,,
80,40240,160,0.03214598782304434,0.5,0.5,,,,,
81,40818,162,0.024073719028971634,1.0,1.0,0.03725312077609583,1.0,1.0,,
82,41268,164,0.03298856285261147,0.5,0.5,,,,,
83,41702,166,0.03803515546996804,0.5,0.5,,,,,
84,42296,168,0.029574373022386607,1.0,1.0,,,,,
85,42554,170,0.03435905673356046,1.0,1.0,,,,,
86,43196,172,0.02759597824354933,0.5,0.5,,,,,
87,43694,174,0.041673142577877326,0.0,0.0,,,,,
88,44144,176,0.033947636028356105,0.0,0.0,,,,,
89,44578,178,0.029176930002529983,0.5,0.5,0.03542291637511517,0.5,0.5,,
90,44948,180,0.04138830930749385,0.5,0.5,,,,,
91,45366,182,0.031199293610283903,1.0,1.0,,,,,
92,46152,184,0.025965166112428793,0.5,0.5,,,,,
93,46394,186,0.027999513549266945,1.0,1.0,,,,,
94,46780,188,0.0369083317833065,0.0,0.0,,,,,
95,47198,190,0.0335939312811276,0.5,0.5,,,,,
96,47504,192,0.03526479011167363,0.5,0.5,,,,,
97,48002,194,0.03479508842592271,0.5,0.5,0.04057899859919542,0.0,0.0,,
98,48404,196,0.035779435885434946,0.0,0.0,,,,,
99,49142,198,0.02566005549823785,1.0,1.0,,,,,
100,49864,200,0.030181407208927948,0.5,0.5,,,,,
101,50410,202,0.029794974139209344,0.0,0.0,,,,,
102,50732,204,0.03432718784235839,0.5,0.5,,,,,
103,51198,206,0.03306334762191972,0.5,0.5,,,,,
104,52208,208,0.027590216780428445,0.5,0.5,,,,,
105,53346,210,0.026408046183764463,0.0,0.0,0.026615233460350496,0.5,0.5,,
106,53940,212,0.0251119869107434,1.0,1.0,,,,,
107,54390,214,0.032650767278004034,0.5,0.5,,,,,
108,54728,216,0.032823103782963395,0.5,0.5,,,,,
109,55066,218,0.04920719562915717,0.0,0.0,,,,,
110,55436,220,0.029110825112052815,1.0,1.0,,,,,
111,56078,222,0.029452602321661286,0.5,0.5,,,,,
112,56496,224,0.02877672288552521,1.0,1.0,,,,,
113,56898,226,0.029511804230022243,0.5,0.5,0.036466325190365474,0.5,0.5,,
114,57444,228,0.033806812661998316,0.0,0.0,,,,,
115,57734,230,0.036077118462142406,1.0,1.0,,,,,
116,58248,232,0.03035935430812742,0.5,0.5,,,,,
117,58730,234,0.03964491260536004,0.0,0.0,,,,,
118,59260,236,0.024567108000485886,0.5,0.5,,,,,
119,59822,238,0.0313044020151761,1.0,1.0,,,,,
120,60272,240,0.0317539271404842,0.5,0.5,,,,,
121,60578,242,0.03434161759572529,1.0,1.0,0.025265213314495567,1.0,1.0,,
122,60916,244,0.032916723319092504,0.5,0.5,,,,,
123,61366,246,0.03876373884756114,0.0,0.0,,,,,
124,62024,248,0.031192779227181392,0.5,0.5,,,,,
125,62426,250,0.028092894259854072,0.5,0.5,,,,,
126,62668,252,0.038854526644743606,0.5,0.5,,,,,
127,63182,254,0.026280185228418417,0.5,0.5,,,,,
128,63728,256,0.03051535946709063,0.0,0.0,,,,,
129,64690,258,0.020561840684994726,1.0,1.0,0.03586532906723732,0.5,0.5,,
130,65220,260,0.029572165247705152,1.0,1.0,,,,,
131,65654,262,0.03615658381584176,0.0,0.0,,,,,
132,66424,264,0.023407543699844005,0.5,0.5,,,,,
133,66970,266,0.03044077613266863,0.5,0.5,,,,,
134,67356,268,0.03032715320568589,0.5,0.5,,,,,
135,67902,270,0.02704409582290496,0.5,0.5,,,,,
136,68528,272,0.025614336606611172,0.5,0.5,,,,,
137,68770,274,0.055031674862635556,0.0,0.0,0.03710216238921535,0.5,0.5,,
138,69380,276,0.03706307358950078,0.0,0.0,,,,,
139,69862,278,0.022860080476215447,1.0,1.0,,,,,
140,71064,280,0.020339098778580957,1.0,1.0,,,,,
141,72042,282,0.024046332339306545,0.5,0.5,,,,,
142,72812,284,0.02677886403296649,0.5,0.5,,,,,
143,73214,286,0.035563803902769725,0.5,0.5,,,,,
144,74000,288,0.027676685157327987,0.5,0.5,,,,,
145,74306,290,0.041326731604977365,0.0,0.0,0.036181476758233896,0.5,0.5,,
146,74660,292,0.02784617926924759,1.0,1.0,,,,,
147,75878,294,0.022324984099274817,1.0,1.0,,,,,
148,76360,296,0.028610350323460206,1.0,1.0,,,,,
149,76810,298,0.024908642091031653,0.5,0.5,,,,,
150,77116,300,0.03454630913830968,0.5,0.5,,,,,
151,77438,302,0.040534616434510104,0.5,0.5,,,,,
152,77920,304,0.029436069426948965,0.0,0.0,,,,,
153,78226,306,0.04063901547676468,0.5,0.5,0.03658831352919388,0.5,0.5,,
154,78612,308,0.0363845161558523,0.5,0.5,,,,,
155,79142,310,0.021633825819434134,1.0,1.0,,,,,
156,79640,312,0.029664736124140615,0.5,0.5,,,,,
157,80074,314,0.033824194677219095,1.0,1.0,,,,,
158,80444,316,0.030787985699735933,0.5,0.5,,,,,
159,80782,318,0.036941143296423354,1.0,1.0,,,,,
160,81296,320,0.0285438821476555,1.0,1.0,,,,,
161,81746,322,0.0356123625949629,0.5,0.5,0.028667054325290542,0.5,0.5,,
162,82164,324,0.025797384327457762,1.0,1.0,,,,,
163,82630,326,0.027671526122513918,0.0,0.0,,,,,
164,83096,328,0.034965708961922096,0.0,0.0,,,,,
165,83466,330,0.03895523558191322,0.5,0.5,,,,,
166,84540,332,0.021998494476074923,0.5,0.5,,,,,
167,85166,334,0.03087416548442959,0.0,0.0,,,,,
168,85872,336,0.026033118368836764,0.5,0.5,,,,,
169,86258,338,0.022140735897307116,1.0,1.0,0.04090587804353293,0.5,0.5,,
170,86644,340,0.03977582646284797,0.0,0.0,,,,,
171,87190,342,0.035118849423620035,0.5,0.5,,,,,
172,87576,344,0.034545588461993855,0.0,0.0,,,,,
173,87914,346,0.029666756284305373,1.0,1.0,,,,,
174,88268,348,0.033834641609692795,0.5,0.5,,,,,
175,88702,350,0.027846083527235724,0.5,0.5,,,,,
176,89136,352,0.02965086592065038,0.5,0.5,,,,,
177,89570,354,0.03702216886563865,0.5,0.5,0.021961087500511407,1.0,1.0,,
178,89828,356,0.046903519819607026,0.0,0.0,,,,,
179,90150,358,0.028294940792397034,1.0,1.0,,,,,
180,90616,360,0.03083951077936067,0.5,0.5,,,,,
181,90938,362,0.037196792895221736,0.5,0.5,,,,,
182,91516,364,0.027143172009515788,0.0,0.0,,,,,
183,91902,366,0.028339505687572455,1.0,1.0,,,,,
184,92224,368,0.034062663795910345,0.5,0.5,,,,,
185,92674,370,0.03543464036877724,0.5,0.5,0.037189523875460144,0.0,0.0,,
186,93076,372,0.026860426021766033,0.5,0.5,,,,,
187,93478,374,0.03243967383877826,0.5,0.5,,,,,
188,93944,376,0.03183714542402193,0.5,0.5,,,,,
189,94378,378,0.04320375774430296,0.0,0.0,,,,,
190,94620,380,0.04013987234748977,0.5,0.5,,,,,
191,94974,382,0.02957626514212197,1.0,1.0,,,,,
192,95328,384,0.02738937078203393,1.0,1.0,,,,,
193,95746,386,0.02746166114524105,1.0,1.0,0.03299887492552278,1.0,1.0,,
194,96276,388,0.02423361539577441,0.5,0.5,,,,,
195,96550,390,0.04036003492853471,1.0,1.0,,,,,
196,97112,392,0.03372895354189989,1.0,1.0,,,,,
197,97498,394,0.030628843052051408,0.5,0.5,,,,,
198,97852,396,0.035936089984998865,1.0,1.0,,,,,
199,98446,398,0.0252345979426089,1.0,1.0,,,,,
200,98928,400,0.025101198413773094,1.0,1.0,,,,,
201,99266,402,0.03377493805575622,1.0,1.0,0.034100882894532385,0.5,0.5,,
202,99428,404,0.04465280449414422,0.5,0.5,,,,,
203,99654,406,0.03884588525070285,0.5,0.5,,,,,
204,100136,408,0.03177368310266184,1.0,1.0,,,,,
205,100426,410,0.037882867837712796,0.0,0.0,,,,,
206,100780,412,0.029811096558531227,0.5,0.5,,,,,
207,101150,414,0.037359429605298235,0.5,0.5,,,,,
208,101568,416,0.03483650229890862,0.5,0.5,,,,,
209,102242,418,0.02572347888108847,0.0,0.0,0.03058502941019281,0.5,0.5,,
210,102676,420,0.029950691778965984,1.0,1.0,,,,,
211,103190,422,0.03252525900742171,0.0,0.0,,,,,
212,103544,424,0.04265737858651516,0.0,0.0,,,,,
213,104042,426,0.02946267907904491,0.0,0.0,,,,,
214,104476,428,0.02634218664599555,0.5,0.5,,,,,
215,104798,430,0.028646170961639655,1.0,1.0,,,,,
216,105152,432,0.02471632457749283,1.0,1.0,,,,,
217,105682,434,0.03140023778773618,0.0,0.0,0.02423368011484161,0.5,0.5,,
218,106020,436,0.030678307686456328,1.0,1.0,,,,,
219,107334,438,0.018423064106420372,0.5,0.5,,,,,
220,107544,440,0.03207073211846505,0.5,0.5,,,,,
221,108010,442,0.028993363180436132,1.0,1.0,,,,,
222,108284,444,0.031182376846976268,0.5,0.5,,,,,
223,108878,446,0.03388817796787554,0.5,0.5,,,,,
224,109312,448,0.036035678357214204,0.5,0.5,,,,,
225,109714,450,0.03141389386868977,0.5,0.5,0.025857342581695777,1.0,1.0,,
226,110212,452,0.03214366600689837,0.5,0.5,,,,,
227,111494,454,0.020319086800709443,0.5,0.5,,,,,
228,111976,456,0.030280461907265518,1.0,1.0,,,,,
229,112394,458,0.02968498631731214,1.0,1.0,,,,,
230,113116,460,0.025193255868575053,0.5,0.5,,,,,
231,113614,462,0.022442122099679593,1.0,1.0,,,,,
232,114912,464,0.02186260436415035,0.5,0.5,,,,,
233,115474,466,0.032438085582393146,0.5,0.5,0.034950130979371295,1.0,1.0,,
234,115924,468,0.030388484122453128,0.0,0.0,,,,,
235,116422,470,0.03421400432232693,0.5,0.5,,,,,
236,116776,472,0.03428590445635729,1.0,1.0,,,,,
237,117178,474,0.027580153413426886,0.5,0.5,,,,,
238,117756,476,0.02124192935449729,0.5,0.5,,,,,
239,118174,478,0.026021643952650407,1.0,1.0,,,,,
240,118592,480,0.03603709274097687,1.0,1.0,,,,,
241,118962,482,0.03904682626925616,0.5,0.5,0.02905326964472456,0.5,0.5,,
242,119796,484,0.022997604380133315,1.0,1.0,,,,,
243,120294,486,0.039326390445832304,0.0,0.0,,,,,
244,120744,488,0.03946358802273867,0.0,0.0,,,,,
245,121194,490,0.03551857867809369,0.0,0.0,,,,,
246,121852,492,0.027439601345539837,0.0,0.0,,,,,
247,122286,494,0.032136843310085914,0.5,0.5,,,,,
248,122656,496,0.02943761609762315,1.0,1.0,,,,,
249,123170,498,0.025771011402432296,1.0,1.0,0.02595318481430565,0.0,0.0,,
250,123460,500,0.03649488776835016,0.5,0.5,,,,,
251,124102,502,0.021168450413591926,1.0,1.0,,,,,
252,124408,504,0.03384400027074183,1.0,1.0,,,,,
253,124826,506,0.032431888004704465,0.5,0.5,,,,,
254,125324,508,0.02619285325191266,0.5,0.5,,,,,
255,125758,510,0.020496215720817827,1.0,1.0,,,,,
256,126240,512,0.026541602497706967,0.5,0.5,,,,,
257,126674,514,0.04008734846830016,0.5,0.5,0.01967613886379109,1.0,1.0,,
258,127092,516,0.03528721786986212,0.5,0.5,,,,,
259,127542,518,0.02932380398997079,0.5,0.5,,,,,
260,127928,520,0.02678439936333613,1.0,1.0,,,,,
261,128282,522,0.029779713887298633,0.5,0.5,,,,,
262,128620,524,0.02852042290853379,1.0,1.0,,,,,
263,128910,526,0.03488026559060624,0.5,0.5,,,,,
264,129376,528,0.03476797467449646,0.5,0.5,,,,,
265,129778,530,0.034464520478816124,0.0,0.0,0.02687709387658591,1.0,1.0,,
