step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
1,249,1,0.1305195814970319,0.0,0.3333333333333333,0.20307464289061894,0.0,0.3333333333333333,,
2,434,2,0.1493845626897667,0.0,0.3333333333333333,,,,,
3,571,3,0.15547715730694645,0.0,0.6666666666666666,,,,,
4,804,4,0.08033501264935505,0.0,0.3333333333333333,,,,,
5,1013,5,0.0670969473318949,0.0,0.6666666666666666,,,,,
6,1190,6,0.05965551748604742,0.0,0.6666666666666666,,,,,
7,1367,7,0.05379005927192503,0.0,0.6666666666666666,,,,,
8,1584,8,0.05038578042318544,0.0,0.6666666666666666,,,,,
9,1753,9,0.04488267636817043,0.0,0.6666666666666666,0.05589665813675674,0.0,0.6666666666666666,,
10,2034,10,0.041844813740238476,0.0,0.6666666666666666,,,,,
11,2443,11,0.03663682351894642,0.0,0.6666666666666666,,,,,
12,2628,12,0.03732642405286005,0.0,0.6666666666666666,,,,,
13,2861,13,0.038870398374595515,0.0,0.6666666666666666,,,,,
14,3414,14,0.03783091935425098,1.0,1.0,,,,,
15,3527,15,0.045874383225704404,0.0,0.6666666666666666,,,,,
16,3728,16,0.058850983286043636,0.0,0.6666666666666666,,,,,
17,3873,17,0.06128693283640636,0.0,0.6666666666666666,0.062155912785043864,0.0,0.6666666666666666,,
18,4082,18,0.037414860117194346,0.0,0.6666666666666666,,,,,
19,4227,19,0.04193109931120287,0.0,0.6666666666666666,,,,,
20,4628,20,0.035141893109249214,0.0,0.6666666666666666,,,,,
21,4741,21,0.05660057927161688,0.0,0.6666666666666666,,,,,
22,4918,22,0.047679499882962606,0.0,0.6666666666666666,,,,,
23,5135,23,0.04866183791805438,0.0,0.6666666666666666,,,,,
24,5288,24,0.06430456144404352,0.0,0.6666666666666666,,,,,
25,5401,25,0.05020061880853194,0.0,0.6666666666666666,0.04617999483606605,0.0,0.6666666666666666,,
26,5658,26,0.0485803445550846,0.0,0.6666666666666666,,,,,
27,5923,27,0.040876923537201064,0.0,0.6666666666666666,,,,,
28,6172,28,0.04050618210736561,0.0,0.6666666666666666,,,,,
29,6325,29,0.045421465520845035,0.0,0.6666666666666666,,,,,
30,6446,30,0.05920150179326689,0.0,0.6666666666666666,,,,,
31,6551,31,0.054915321119718176,0.0,0.6666666666666666,,,,,
32,6648,32,0.061427238852193124,0.0,0.6666666666666666,,,,,
33,6793,33,0.05208732603868863,0.0,0.6666666666666666,0.058156231893008226,0.0,0.6666666666666666,,
34,6906,34,0.04946899425504463,1.0,1.0,,,,,
35,7003,35,0.06307700041594216,0.0,0.6666666666666666,,,,,
36,7220,36,0.04496846122229557,0.0,0.6666666666666666,,,,,
37,7365,37,0.04781769094691805,0.0,0.6666666666666666,,,,,
38,7598,38,0.03566162491538527,0.0,0.6666666666666666,,,,,
39,7791,39,0.04489133651388934,0.0,0.6666666666666666,,,,,
40,7936,40,0.046150964170071036,0.0,0.6666666666666666,,,,,
41,8113,41,0.03975770173730615,1.0,1.0,0.04930559017660471,0.0,0.6666666666666666,,
42,8330,42,0.04146355947553173,0.0,0.6666666666666666,,,,,
43,8435,43,0.052180787709574086,0.0,0.6666666666666666,,,,,
44,8580,44,0.05292576580542219,0.0,0.6666666666666666,,,,,
45,8725,45,0.05141338896912606,0.0,0.6666666666666666,,,,,
46,8854,46,0.06487089210857448,0.0,0.6666666666666666,,,,,
47,8999,47,0.05019304747368651,0.0,0.6666666666666666,,,,,
48,9176,48,0.041779981771469465,0.0,0.6666666666666666,,,,,
49,9425,49,0.03805380870994169,0.0,0.6666666666666666,0.04135827907570414,0.0,0.6666666666666666,,
50,9626,50,0.04159737914327998,0.0,0.6666666666666666,,,,,
51,10011,51,0.03704761795573547,0.0,0.6666666666666666,,,,,
52,10108,52,0.04679983231365288,0.0,0.6666666666666666,,,,,
53,10373,53,0.03845501156128828,0.0,0.6666666666666666,,,,,
54,10846,54,0.03203846955550019,0.0,0.6666666666666666,,,,,
55,11031,55,0.041066761878796765,1.0,1.0,,,,,
56,11152,56,0.04965352978495017,0.0,0.6666666666666666,,,,,
57,11321,57,0.04498773835223844,1.0,1.0,0.05066808566717078,0.0,0.6666666666666666,,
58,11490,58,0.04752593434762924,0.0,0.6666666666666666,,,,,
59,11675,59,0.04425666977867798,0.0,0.6666666666666666,,,,,
60,11828,60,0.04011311638899649,0.0,0.6666666666666666,,,,,
61,11989,61,0.038995899565146826,0.0,0.6666666666666666,,,,,
62,12134,62,0.05148488859200976,0.0,0.6666666666666666,,,,,
63,12279,63,0.048080059045961306,0.0,0.6666666666666666,,,,,
64,12896,64,0.03496894707000209,0.0,0.6666666666666666,,,,,
65,13081,65,0.04123684936299548,1.0,1.0,0.043035863676682655,0.0,0.6666666666666666,,
66,13162,66,0.05640428253137725,0.0,0.6666666666666666,,,,,
67,13283,67,0.044882963602870106,0.0,0.6666666666666666,,,,,
68,13444,68,0.053372549060455646,0.0,0.6666666666666666,,,,,
69,13557,69,0.044322322424330714,1.0,1.0,,,,,
70,13694,70,0.05246023794241624,0.0,0.6666666666666666,,,,,
71,13879,71,0.03966810783256338,0.0,0.6666666666666666,,,,,
72,14112,72,0.04072297926180925,0.0,0.6666666666666666,,,,,
73,14777,73,0.036974503084922256,1.0,1.0,0.04956362447898831,0.0,0.6666666666666666,,
74,14930,74,0.05047356608354053,0.0,0.6666666666666666,,,,,
75,15123,75,0.06338682808073903,0.0,0.6666666666666666,,,,,
76,15276,76,0.053995065442186865,0.0,0.6666666666666666,,,,,
77,15493,77,0.03390445695194136,1.0,1.0,,,,,
78,15694,78,0.04820517541091612,0.0,0.6666666666666666,,,,,
79,15879,79,0.053860477008046,0.0,0.6666666666666666,,,,,
80,15992,80,0.055857999729979776,0.0,0.6666666666666666,,,,,
81,16129,81,0.047478658786308456,0.0,0.6666666666666666,0.04194309566534444,0.0,0.6666666666666666,,
82,16490,82,0.03635163486457977,0.0,0.6666666666666666,,,,,
83,16595,83,0.05028343965801469,0.0,0.6666666666666666,,,,,
84,16900,84,0.04179628515523195,0.0,0.6666666666666666,,,,,
85,16997,85,0.04992862129279577,0.0,0.6666666666666666,,,,,
86,17182,86,0.052736294291199824,0.0,0.6666666666666666,,,,,
87,17343,87,0.049394369977249886,0.0,0.6666666666666666,,,,,
88,17536,88,0.04607707667020198,0.0,0.6666666666666666,,,,,
89,17689,89,0.04411331783761852,0.0,0.6666666666666666,0.0427169078146926,0.0,0.6666666666666666,,
90,17906,90,0.041459195472031106,0.0,0.6666666666666666,,,,,
91,18099,91,0.03997630300255575,0.0,0.6666666666666666,,,,,
92,18204,92,0.046519817240668296,0.0,0.6666666666666666,,,,,
93,18381,93,0.037678409429830605,0.0,0.6666666666666666,,,,,
94,18550,94,0.03724126974389254,1.0,1.0,,,,,
95,18799,95,0.03514765532857822,0.0,0.6666666666666666,,,,,
96,18920,96,0.06583493355323056,0.0,0.6666666666666666,,,,,
97,19129,97,0.03719154516313071,0.0,0.6666666666666666,0.05057273013867199,0.0,0.6666666666666666,,
98,19338,98,0.04840301904954336,0.0,0.6666666666666666,,,,,
99,19475,99,0.04315517911472157,1.0,1.0,,,,,
100,19644,100,0.04305711077332403,0.0,0.6666666666666666,,,,,
101,19893,101,0.03787959797457241,0.0,0.6666666666666666,,,,,
102,20166,102,0.04456250715297917,0.0,0.6666666666666666,,,,,
103,20271,103,0.04942991340314341,0.0,0.6666666666666666,,,,,
104,20392,104,0.04287061685240466,1.0,1.0,,,,,
105,20593,105,0.03959985011700919,0.0,0.6666666666666666,0.07585201798613005,0.0,0.6666666666666666,,
106,20826,106,0.03979582993210302,0.0,0.6666666666666666,,,,,
107,20995,107,0.0428542229558644,1.0,1.0,,,,,
108,21204,108,0.04462216004408289,0.0,0.6666666666666666,,,,,
109,21541,109,0.039719117508706665,0.0,0.6666666666666666,,,,,
110,21694,110,0.03947332751099901,1.0,1.0,,,,,
111,21975,111,0.038089328134601856,0.0,0.6666666666666666,,,,,
112,22024,112,0.07946743746044073,0.0,0.6666666666666666,,,,,
113,22281,113,0.029110503328402048,1.0,1.0,0.03632991974936077,0.0,0.6666666666666666,,
114,22426,114,0.06684783267017842,0.0,0.6666666666666666,,,,,
115,22611,115,0.04968691023047145,0.0,0.6666666666666666,,,,,
116,22884,116,0.027746825527862232,1.0,1.0,,,,,
117,23037,117,0.04200540186388887,0.0,0.6666666666666666,,,,,
118,23190,118,0.05279255758755377,0.0,0.6666666666666666,,,,,
119,23399,119,0.04441922594584937,0.0,0.6666666666666666,,,,,
120,23504,120,0.05268351676043285,0.0,0.6666666666666666,,,,,
121,23617,121,0.04246153370928369,1.0,1.0,0.058876398974427584,0.0,0.6666666666666666,,
122,23842,122,0.03527895515922344,1.0,1.0,,,,,
123,24123,123,0.04130508150047639,0.0,0.6666666666666666,,,,,
124,24260,124,0.04943387086444144,0.0,0.6666666666666666,,,,,
125,24493,125,0.04515851956411819,0.0,0.6666666666666666,,,,,
126,24598,126,0.05998271844329653,0.0,0.6666666666666666,,,,,
127,24863,127,0.037163887425492495,0.0,0.6666666666666666,,,,,
128,25088,128,0.04015291335052878,1.0,1.0,,,,,
129,25249,129,0.04413668302880251,0.0,0.6666666666666666,0.04202352056243803,0.0,0.6666666666666666,,
130,25466,130,0.04385747107053316,0.0,0.6666666666666666,,,,,
131,25675,131,0.03866973350095858,1.0,1.0,,,,,
132,25812,132,0.05287151127337624,0.0,0.6666666666666666,,,,,
133,25901,133,0.06318232550134449,0.0,0.6666666666666666,,,,,
134,26062,134,0.04290155041928665,0.0,0.6666666666666666,,,,,
135,26239,135,0.04683727285676551,0.0,0.6666666666666666,,,,,
136,26480,136,0.04156795846301975,0.0,0.6666666666666666,,,,,
137,26633,137,0.049897478364864106,0.0,0.6666666666666666,0.035781773300376005,0.0,0.6666666666666666,,
138,26802,138,0.0446862915473494,0.0,0.6666666666666666,,,,,
139,26939,139,0.057355470167355684,0.0,0.6666666666666666,,,,,
140,27204,140,0.03668852412344925,0.0,0.6666666666666666,,,,,
141,27309,141,0.04988322102476489,0.0,0.6666666666666666,,,,,
142,27470,142,0.0499397670772978,0.0,0.6666666666666666,,,,,
143,27615,143,0.05806871473749248,0.0,0.6666666666666666,,,,,
144,27824,144,0.041431405240148086,0.0,0.6666666666666666,,,,,
145,27985,145,0.04023008306489351,0.0,0.6666666666666666,0.040159695196815344,0.0,0.6666666666666666,,
146,28450,146,0.03792846393018283,0.0,0.6666666666666666,,,,,
147,28531,147,0.04837849821394321,1.0,1.0,,,,,
148,28732,148,0.0393774967135987,1.0,1.0,,,,,
149,28925,149,0.042468469798283476,0.0,0.6666666666666666,,,,,
150,29126,150,0.040872792249475424,0.0,0.6666666666666666,,,,,
151,29247,151,0.050109988219160795,0.0,0.6666666666666666,,,,,
152,29408,152,0.04242214422295502,0.0,0.6666666666666666,,,,,
153,29561,153,0.04860734970803797,0.0,0.6666666666666666,0.05048797379599616,0.0,0.6666666666666666,,
154,29818,154,0.043619144163568394,0.0,0.6666666666666666,,,,,
155,30043,155,0.04170213507996972,0.0,0.6666666666666666,,,,,
156,30732,156,0.037869853767123624,0.0,0.6666666666666666,,,,,
157,30869,157,0.04509171888385321,0.0,0.6666666666666666,,,,,
158,31014,158,0.04611628845082932,0.0,0.6666666666666666,,,,,
159,31143,159,0.06205445308073486,0.0,0.6666666666666666,,,,,
160,31616,160,0.031930730511990545,0.0,0.6666666666666666,,,,,
161,31769,161,0.04022909150970559,1.0,1.0,0.04323546294213429,0.0,0.6666666666666666,,
162,31866,162,0.055792623248046305,0.0,0.6666666666666666,,,,,
163,32075,163,0.035875210541579994,0.0,0.6666666666666666,,,,,
164,32212,164,0.04895104949980391,0.0,0.6666666666666666,,,,,
165,32397,165,0.04183836520416187,0.0,0.6666666666666666,,,,,
166,32622,166,0.04468151283137413,0.0,0.6666666666666666,,,,,
167,33279,167,0.040313110980206644,0.0,0.6666666666666666,,,,,
168,33504,168,0.0432626397399021,0.0,0.6666666666666666,,,,,
169,33657,169,0.04494197187765909,0.0,0.6666666666666666,0.05513085416573696,0.0,0.6666666666666666,,
170,33858,170,0.045240784625277045,0.0,0.6666666666666666,,,,,
171,34003,171,0.04640211933126112,0.0,0.6666666666666666,,,,,
172,34164,172,0.04520325827622788,0.0,0.6666666666666666,,,,,
173,34477,173,0.04079782164241386,0.0,0.6666666666666666,,,,,
174,34686,174,0.045530008520651026,0.0,0.6666666666666666,,,,,
175,34807,175,0.043340444868051844,0.0,0.6666666666666666,,,,,
176,34912,176,0.04550292776197221,0.0,0.6666666666666666,,,,,
177,35097,177,0.045436158752637984,0.0,0.6666666666666666,0.04304821906113285,0.0,0.6666666666666666,,
178,35250,178,0.041460630926934465,0.0,0.6666666666666666,,,,,
179,35451,179,0.04301601560814179,0.0,0.6666666666666666,,,,,
180,35780,180,0.045749056371657014,0.0,0.6666666666666666,,,,,
181,35917,181,0.04445938849241483,0.0,0.6666666666666666,,,,,
182,36070,182,0.04767313029033989,0.0,0.6666666666666666,,,,,
183,36223,183,0.039076236543379834,1.0,1.0,,,,,
184,36392,184,0.03712004650631418,1.0,1.0,,,,,
185,36505,185,0.04048630196848957,1.0,1.0,0.05516002206555736,0.0,0.6666666666666666,,
186,36610,186,0.05009345896202411,0.0,0.6666666666666666,,,,,
187,36859,187,0.04091216358079545,0.0,0.6666666666666666,,,,,
188,36956,188,0.0498128305281936,0.0,0.6666666666666666,,,,,
189,37053,189,0.04483814784861957,0.0,0.6666666666666666,,,,,
190,38126,190,0.05576479343600995,0.0,0.6666666666666666,,,,,
191,38239,191,0.06897591559596808,0.0,0.6666666666666666,,,,,
192,38440,192,0.04245802479920276,0.0,0.6666666666666666,,,,,
193,38553,193,0.04050992177089679,1.0,1.0,0.040268418060712234,1.0,1.0,,
194,38682,194,0.04550921228165862,0.0,0.6666666666666666,,,,,
195,38891,195,0.0549092835411004,0.0,0.6666666666666666,,,,,
196,39108,196,0.04247615950464764,0.0,0.6666666666666666,,,,,
197,39309,197,0.03677686517711773,0.0,0.6666666666666666,,,,,
198,39566,198,0.04355779076752242,0.0,0.6666666666666666,,,,,
199,39831,199,0.036725462821900146,0.0,0.6666666666666666,,,,,
200,40216,200,0.033088689096214194,0.0,0.6666666666666666,,,,,
201,40481,201,0.03721937330863528,0.0,0.6666666666666666,0.03319989308715492,0.0,0.6666666666666666,,
202,40722,202,0.04135489055610052,1.0,1.0,,,,,
203,40971,203,0.04171409941245275,0.0,0.6666666666666666,,,,,
204,41364,204,0.037734400632986796,0.0,0.6666666666666666,,,,,
205,41541,205,0.03944844907301331,1.0,1.0,,,,,
206,41806,206,0.0333992861289905,0.0,0.6666666666666666,,,,,
207,41999,207,0.04367791514550371,0.0,0.6666666666666666,,,,,
208,42200,208,0.03930997882961328,0.0,0.6666666666666666,,,,,
209,42345,209,0.04646345716198514,0.0,0.6666666666666666,0.05137277150901025,0.0,0.6666666666666666,,
210,42442,210,0.06262102137668989,0.0,0.6666666666666666,,,,,
211,42643,211,0.04546947876990599,0.0,0.6666666666666666,,,,,
212,42884,212,0.03999412999376,1.0,1.0,,,,,
213,43037,213,0.0361340693264662,0.0,0.6666666666666666,,,,,
214,43222,214,0.0457496127943254,0.0,0.6666666666666666,,,,,
215,43543,215,0.03634824935704819,0.0,0.6666666666666666,,,,,
216,43664,216,0.0509856734899901,0.0,0.6666666666666666,,,,,
217,43873,217,0.04365131387338457,0.0,0.6666666666666666,0.03730161863614274,0.0,0.6666666666666666,,
218,44026,218,0.04196306533468152,0.0,0.6666666666666666,,,,,
219,44259,219,0.035646717693450444,0.0,0.6666666666666666,,,,,
220,44508,220,0.041791896508196605,0.0,0.6666666666666666,,,,,
221,44589,221,0.05795569152146345,0.0,0.6666666666666666,,,,,
222,44894,222,0.037800594744515865,0.0,0.6666666666666666,,,,,
223,45167,223,0.044570472072633656,0.0,0.6666666666666666,,,,,
224,45328,224,0.034522319452196824,0.0,0.6666666666666666,,,,,
225,45465,225,0.053727447761613055,0.0,0.6666666666666666,0.041230217254248795,0.0,0.6666666666666666,,
226,45626,226,0.034688232575542315,1.0,1.0,,,,,
227,45795,227,0.054918000637788046,0.0,0.6666666666666666,,,,,
228,46124,228,0.03387243779073426,0.0,0.6666666666666666,,,,,
229,46549,229,0.03636160733733444,0.0,0.6666666666666666,,,,,
230,46718,230,0.04145452258053237,1.0,1.0,,,,,
231,46823,231,0.05435423648615632,0.0,0.6666666666666666,,,,,
232,47168,232,0.042237890656947774,0.0,0.6666666666666666,,,,,
233,47257,233,0.04688368424819684,1.0,1.0,0.03983877522287427,1.0,1.0,,
234,47378,234,0.06123907537018264,0.0,0.6666666666666666,,,,,
235,47595,235,0.04114027929115865,0.0,0.6666666666666666,,,,,
236,47804,236,0.04128234632035506,1.0,1.0,,,,,
237,47893,237,0.0520608004938946,0.0,0.6666666666666666,,,,,
238,48270,238,0.03397058835191699,0.0,0.6666666666666666,,,,,
239,48607,239,0.03435520332604374,0.0,0.6666666666666666,,,,,
240,48856,240,0.03619365875793905,0.0,0.6666666666666666,,,,,
241,49073,241,0.04487501877423306,0.0,0.6666666666666666,0.04621470790234787,0.0,0.6666666666666666,,
242,49282,242,0.039397136352888544,0.0,0.6666666666666666,,,,,
243,49499,243,0.04062414759248087,0.0,0.6666666666666666,,,,,
244,49644,244,0.03814138544588849,1.0,1.0,,,,,
245,49837,245,0.04037986051812974,0.0,0.6666666666666666,,,,,
246,50030,246,0.03629827664681841,1.0,1.0,,,,,
247,50239,247,0.04469628095453906,0.0,0.6666666666666666,,,,,
248,50344,248,0.05864357958801869,0.0,0.6666666666666666,,,,,
249,50601,249,0.04229097596868016,0.0,0.6666666666666666,0.039848890201996626,0.0,0.6666666666666666,,
250,50754,250,0.14167608736198825,0.0,0.6666666666666666,,,,,
251,50859,251,0.041465478889485194,0.0,0.6666666666666666,,,,,
252,50940,252,0.051115855281808766,0.0,0.6666666666666666,,,,,
253,51069,253,0.040066844908428725,1.0,1.0,,,,,
254,51302,254,0.03485196105743759,1.0,1.0,,,,,
255,51495,255,0.03817924492510959,1.0,1.0,,,,,
256,51696,256,0.054479075260349785,0.0,0.6666666666666666,,,,,
257,51993,257,0.04168658378253109,0.0,0.6666666666666666,0.04802748680029375,0.0,0.6666666666666666,,
258,52194,258,0.04014182736176299,0.0,0.6666666666666666,,,,,
259,52443,259,0.0549056824946632,0.0,0.6666666666666666,,,,,
260,52684,260,0.030457546282745173,1.0,1.0,,,,,
261,52837,261,0.04677367241664462,0.0,0.6666666666666666,,,,,
262,52998,262,0.044880198194852707,1.0,1.0,,,,,
263,53183,263,0.03738969563869708,0.0,0.6666666666666666,,,,,
264,53344,264,0.04576952199592779,0.0,0.6666666666666666,,,,,
265,53553,265,0.04689215656604994,0.0,0.6666666666666666,0.04889507295903362,0.0,0.6666666666666666,,
266,53738,266,0.04661933314185539,0.0,0.6666666666666666,,,,,
267,53939,267,0.03829686635519029,1.0,1.0,,,,,
268,54268,268,0.037540164946096806,0.0,0.6666666666666666,,,,,
269,54517,269,0.03698362582907711,0.0,0.6666666666666666,,,,,
270,54646,270,0.0433787471045116,0.0,0.6666666666666666,,,,,
271,54759,271,0.052480724468602725,0.0,0.6666666666666666,,,,,
272,54904,272,0.037802654774855504,1.0,1.0,,,,,
273,55129,273,0.03862765232568174,0.0,0.6666666666666666,0.03731950875151518,1.0,1.0,,
274,55258,274,0.04521461424243171,0.0,0.6666666666666666,,,,,
275,55459,275,0.04043297415473644,0.0,0.6666666666666666,,,,,
276,55676,276,0.033758223970152254,0.0,0.6666666666666666,,,,,
277,55989,277,0.041034285528859564,0.0,0.6666666666666666,,,,,
278,56078,278,0.044070791521702304,1.0,1.0,,,,,
279,56279,279,0.03920456912863592,1.0,1.0,,,,,
280,56560,280,0.035877390952393146,0.0,0.6666666666666666,,,,,
281,56809,281,0.040686139269051756,0.0,0.6666666666666666,0.04700273254806502,0.0,0.6666666666666666,,
282,57066,282,0.03240045657598899,0.0,0.6666666666666666,,,,,
283,57171,283,0.06447813474625527,0.0,0.6666666666666666,,,,,
284,57332,284,0.042749461007932046,0.0,0.6666666666666666,,,,,
285,57477,285,0.033067771771950194,1.0,1.0,,,,,
286,57702,286,0.039188893790808046,0.0,0.6666666666666666,,,,,
287,57935,287,0.04270934539625159,0.0,0.6666666666666666,,,,,
288,58120,288,0.03268388318170527,1.0,1.0,,,,,
289,58201,289,0.06979354202255127,0.0,0.6666666666666666,0.040937967807654095,0.0,0.6666666666666666,,
290,58482,290,0.0344914985052206,1.0,1.0,,,,,
291,58699,291,0.04795880728957719,0.0,0.6666666666666666,,,,,
292,58932,292,0.028627831479953497,1.0,1.0,,,,,
293,59157,293,0.04396609970801364,0.0,0.6666666666666666,,,,,
294,59334,294,0.03443574474006627,1.0,1.0,,,,,
295,59487,295,0.03582927202805206,1.0,1.0,,,,,
296,59680,296,0.041411887356098305,0.0,0.6666666666666666,,,,,
297,59937,297,0.030075051227091764,1.0,1.0,0.04240373648307499,0.0,0.6666666666666666,,
298,60138,298,0.03876079736193333,0.0,0.6666666666666666,,,,,
299,60315,299,0.04668729203888833,0.0,0.6666666666666666,,,,,
300,60524,300,0.04376327050264742,0.0,0.6666666666666666,,,,,
301,60621,301,0.03574456105621114,0.0,0.6666666666666666,,,,,
302,60798,302,0.050245062940375645,0.0,0.6666666666666666,,,,,
303,60999,303,0.041076216932152784,0.0,0.6666666666666666,,,,,
304,61184,304,0.062076166344328235,0.0,0.6666666666666666,,,,,
305,61385,305,0.05848631180247358,0.0,0.6666666666666666,0.0334416738484394,1.0,1.0,,
306,61458,306,0.05329989528308285,0.0,0.6666666666666666,,,,,
307,61651,307,0.04426553225010025,0.0,0.6666666666666666,,,,,
308,61852,308,0.04924698008288779,0.0,0.6666666666666666,,,,,
309,62061,309,0.03745803608435574,0.0,0.6666666666666666,,,,,
310,62150,310,0.04702592808395862,1.0,1.0,,,,,
311,62239,311,0.06544554481056532,0.0,0.6666666666666666,,,,,
312,62904,312,0.02752921636594407,0.0,0.6666666666666666,,,,,
313,63105,313,0.03935115549928305,0.0,0.6666666666666666,0.038535613137752174,0.0,0.6666666666666666,,
314,63226,314,0.03841969220738004,1.0,1.0,,,,,
315,63451,315,0.03864978616831406,0.0,0.6666666666666666,,,,,
316,63692,316,0.036419579010511974,0.0,0.6666666666666666,,,,,
317,63853,317,0.043652977611291825,0.0,0.6666666666666666,,,,,
318,64014,318,0.034532332142629234,1.0,1.0,,,,,
319,64119,319,0.0583180697025252,0.0,0.6666666666666666,,,,,
320,64328,320,0.036416895103536365,0.0,0.6666666666666666,,,,,
321,64481,321,0.039173722461496016,1.0,1.0,0.04498147516164267,0.0,0.6666666666666666,,
322,64602,322,0.05596204736722211,0.0,0.6666666666666666,,,,,
323,64755,323,0.054441553795461575,0.0,0.6666666666666666,,,,,
324,64964,324,0.040230518609954614,0.0,0.6666666666666666,,,,,
325,65053,325,0.03927343172698867,0.0,0.6666666666666666,,,,,
326,65262,326,0.043297338915858054,0.0,0.6666666666666666,,,,,
327,65383,327,0.04026987913176375,1.0,1.0,,,,,
328,65600,328,0.04697636679663026,0.0,0.6666666666666666,,,,,
329,65777,329,0.03238270696538972,1.0,1.0,0.04344366380362143,0.0,0.6666666666666666,,
330,65882,330,0.0332972853973171,1.0,1.0,,,,,
331,66147,331,0.03690460342598354,0.0,0.6666666666666666,,,,,
