citationCounts,ID,title,year,abstract,author
872,laland_niche_2000,"Niche construction, biological evolution, and cultural change",2000-01-01,"We propose a conceptual model that maps the causal pathways relating biological evolution to cultural change. It builds on conventional evolutionary theory by placing emphasis on the capacity of
organisms to modify sources of natural selection in their environment (niche construction) and by broadening the evolutionary dynamic to incorporate ontogenetic and cultural processes. In this model,
phenotypes have a much more active role in evolution than generally conceived. This sheds light on hominid evolution, on the evolution of culture, and on altruism and cooperation. Culture amplifies
the capacity of human beings to modify sources of natural selection in their environments to the point where that capacity raises some new questions about the processes of human adaptation.","Laland, Kevin N. and Odling-Smee, John and Feldman, Marcus W."
176,smaldino_cultural_2014,The cultural evolution of emergent group-level traits,2014-01-01,"Many of the most important properties of human groups – including properties that may give one group an evolutionary advantage over another – are properly deﬁned only at the level of group
organization. Yet at present, most work on the evolution of culture has focused solely on the transmission of individual-level traits. I propose a conceptual extension of the theory of cultural
evolution, particularly related to the evolutionary competition between cultural groups. The key concept in this extension is the emergent group-level trait. This type of trait is characterized by the
structured organization of differentiated individuals and constitutes a unit of selection that is qualitatively different from selection on groups as deﬁned by traditional multilevel selection (MLS)
theory. As a corollary, I argue that the traditional focus on cooperation as the deﬁning feature of human societies has missed an essential feature of cooperative groups. Traditional models of
cooperation assume that interacting with one cooperator is equivalent to interacting with any other. However, human groups involve differential roles, meaning that receiving aid from one individual is
often preferred to receiving aid from another. In this target article, I discuss the emergence and evolution of group-level traits and the implications for the theory of cultural evolution, including
ramiﬁcations for the evolution of human cooperation, technology, and cultural institutions, and for the equivalency of multilevel selection and inclusive ﬁtness approaches.","Smaldino, Paul E."
92,van_den_bergh_group_2009,"A group selection perspective on economic behavior, institutions and organizations",2009-01-01,"This article examines the role of group dynamics and interactions in explaining economic behavior and the evolution of institutions. Our starting point is the large literature on group selection in
the biological, behavioral and social sciences. We present a range of interpretations of group selection, describe a complete set of group selection mechanisms, and discuss the empirical and
experimental evidence for group selection. Unique features of cultural group selection are investigated, and opportunities for applying the latter to various areas of economic theory and economic
policy are identiﬁed.","van den Bergh, Jeroen C.J.M. and Gowdy, John M."
129,simon_towards_2013,{TOWARDS} {A} {GENERAL} {THEORY} {OF} {GROUP} {SELECTION},2013-01-01,,"Simon, Burton and Fletcher, Jeffrey A. and Doebeli, Michael"
84,boyd_transmission_2010,Transmission coupling mechanisms: cultural group selection,2010-01-01,"The application of phylogenetic methods to cultural variation raises questions about how cultural adaption works and how it is coupled to cultural transmission. Cultural group selection is of
particular interest in this context because it depends on the same kinds of mechanisms that lead to tree-like patterns of cultural variation. Here, we review ideas about cultural group selection
relevant to cultural phylogenetics. We discuss why group selection among multiple equilibria is not subject to the usual criticisms directed at group selection, why multiple equilibria are a common
phenomena, and why selection among multiple equilibria is not likely to be an important force in genetic evolution. We also discuss three forms of group competition and the processes that cause
populations to shift from one equilibrium to another and create a mutation-like process at the group level.","Boyd, Robert and Richerson, Peter J."
20,gardner_prices_2020,Price's equation made clear,2020-01-01,"Price's equation provides a very simple—and very general—encapsulation of evolutionary change. It forms the mathematical foundations of several topics in evolutionary biology, and has also been
applied outwith evolutionary biology to a wide range of other scientific disciplines. However, the equation's combination of simplicity and generality has led to a number of misapprehensions as to
what it is saying and how it is supposed to be used. Here, I give a simple account of what Price's equation is, how it is derived, what it is saying and why this is useful. In particular, I suggest
that Price's equation is useful not primarily as a predictor of evolutionary change but because it provides a general theory of selection. As an illustration, I discuss some of the insights Price's
equation has brought to the study of social evolution., This article is part of the theme issue ‘Fifty years of the Price equation’.","Gardner, Andy"
55,kramer_kin_2016,Kin and multilevel selection in social evolution: a never-ending controversy?,2016-01-01,"Kin selection and multilevel selection are two major frameworks in evolutionary biology that aim at explaining the evolution of social behaviors. However, the relationship between these two theories
has been plagued by controversy for almost half a century and debates about their relevance and usefulness in explaining social evolution seem to rekindle at regular intervals. Here, we first provide
a concise introduction into the kin selection and multilevel selection theories and shed light onto the roots of the controversy surrounding them. We then review two major aspects of the current
debate: the presumed formal equivalency of the two theories and the question whether group selection can lead to group adaptation. We conclude by arguing that the two theories can offer complementary
approaches to the study of social evolution: kin selection approaches usually focus on the identification of optimal phenotypes and thus on the endresult of a selection process, whereas multilevel
selection approaches focus on the ongoing selection process itself. The two theories thus provide different perspectives that might be fruitfully combined to promote our understanding of the evolution
in group-structured populations.","Kramer, Jos and Meunier, Joël"
785,traulsen_evolution_2006,Evolution of cooperation by multilevel selection,2006-01-01,,"Traulsen, Arne and Nowak, Martin A."
898,wilson_reintroducing_1994,Reintroducing group selection to the human behavioral sciences,1994-01-01,"Abstract In both biology and the human sciences, social groups are sometimes treated as adaptive units whose organization cannot be reduced to individual interactions. This group-level view is opposed
by a more individualistic one that treats social organization as a byproduct of self-interest. According to biologists, group-level adaptations can evolve only by a process of natural selection at the
group level. Most biologists rejected group selection as an important evolutionary force during the 1960s and 1970s but a positive literature began to grow during the 1970s and is rapidly expanding
today. We review this recent literature and its implications for human evolutionary biology. We show that the rejection of group selection was based on a misplaced emphasis on genes as “replicators”
which is in fact irrelevant to the question of whether groups can be like individuals in their functional organization. The fundamental question is whether social groups and other higher-level
entities can be “vehicles” of selection. When this elementary fact is recognized, group selection emerges as an important force in nature and what seem to be competing theories, such as kin selection
and reciprocity, reappear as special cases of group selection. The result is a unified theory of natural selection that operates on a nested hierarchy of units. The vehicle-based theory makes it clear
that group selection is an important force to consider in human evolution. Humans can facultatively span the full range from self-interested individuals to “organs” of group-level “organisms.” Human
behavior not only reflects the balance between levels of selection but it can also alter the balance through the construction of social structures that have the effect of reducing fitness differences
within groups, concentrating natural selection (and functional organization) at the group level. These social structures and the cognitive abilities that produce them allow group selection to be
important even among large groups of unrelated individuals.","Wilson, David Sloan and Sober, Elliott"
983,henrich_cultural_2004,"Cultural group selection, coevolutionary processes and large-scale cooperation",2004-01-01,"Semantic Scholar extracted view of ""Cultural group selection, coevolutionary processes and large-scale cooperation"" by J. Henrich","Henrich, Joseph"
